name;identifier;SMILES;inchikey;MW;LogP;pubchem;chEMBL;membrane;method;temperature;charge;note;LogK;LogPerm_molmedb_value;primary_reference;method_label;Perm
Amoxicillin;MM00716;CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O;LSQZJLSUYDQPKJ-NJBDSQKTSA-N;365.41;0.02;33613;CHEMBL1082;CACO;ECACO;25;;;;-7.68;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.000000020892961308540408
Antipyrine;MM00333;Cc1cc(=O)n(-c2ccccc2)n1C;VEQOALNAAJBPNY-UHFFFAOYSA-N;188.23;1.48;2206;CHEMBL277474;CACO;ECACO;25;;;;-3.82;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00015135612484362088
Atenolol;MM00078;CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;METKIMKYRPQLGS-GFCCVEGCSA-N;266.34;0.45;2249;CHEMBL24;CACO;ECACO;25;;;;-5.48;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0000033113112148259077
Zidovudine;MM00077;Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O;HBOMLICNUCNMMY-UHFFFAOYSA-N;267.25;-0.2;35370;CHEMBL129;CACO;ECACO;25;;;;-4.55;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00002818382931264455
Bupropion;MM00455;CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1;SNPPWIUOZRMYNY-VIFPVBQESA-N;239.75;3.3;444;CHEMBL894;CACO;ECACO;25;;;;-3.82;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00015135612484362088
Cefuroxime;MM01507;CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1;JFPVXVDWJQMJEE-UHFFFAOYSA-N;424.39;-0.54;5479529;CHEMBL1436;CACO;ECACO;25;;;;-6.42;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00000038018939632056126
Cephalexin;MM00721;CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1;ZAIPMKNFIOOWCQ-UHFFFAOYSA-N;347.4;0.44;27447;CHEMBL1727;CACO;ECACO;25;;;;-6.57;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0000002691534803926914
Chlorothiazide;MM00641;NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O;JBMKAUGHUNFTOL-UHFFFAOYSA-N;295.73;0.13;2720;CHEMBL842;CACO;ECACO;25;;;;-6.49;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0000003235936569296281
Corticosterone;MM00346;CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12;OMFXVFTZEKFJBZ-UHFFFAOYSA-N;346.47;2.67;5753;CHEMBL110739;CACO;ECACO;25;;;;-3.92;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00012022644346174131
Dexamethasone;MM00355;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;UREBDLICKHMUKA-CXSFZGCWSA-N;392.47;1.9;5743;CHEMBL384467;CACO;ECACO;25;;;;-4.4;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.000039810717055349695
Furosemide;MM00083;NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl;ZZUFCTLCJUWOSV-UHFFFAOYSA-N;330.75;1.89;3440;CHEMBL35;CACO;ECACO;25;;;;-6.85;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00000014125375446227555
Gabapentin;MM00737;NCC1(CC(=O)O)CCCCC1;UGJMXCAKCUNAIE-UHFFFAOYSA-N;171.24;1.37;3446;CHEMBL940;CACO;ECACO;25;;;;-8;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00000001
Guanabenz;MM00497;NC(N)=NN=Cc1c(Cl)cccc1Cl;WDZVGELJXXEGPV-UHFFFAOYSA-N;231.09;1.81;5702063;CHEMBL420;CACO;ECACO;25;;;;-4;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0001
Hydrochlorothiazide;MM00373;NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O;JZUFKLXOESDKRF-UHFFFAOYSA-N;297.75;-0.35;3639;CHEMBL435;CACO;ECACO;25;;;;-6.04;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0000009120108393559096
Hydrocortisone;MM00044;CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO;JYGXADMDTFJGBT-UHFFFAOYSA-N;362.47;1.78;5754;CHEMBL389621;CACO;ECACO;25;;;;-4.25;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00005623413251903491
Ketoprofen;MM00662;CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1;DKYWVDODHFEZIM-UHFFFAOYSA-N;254.29;3.11;3825;CHEMBL571;CACO;ECACO;25;;;;-4.03;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00009332543007969905
Labetalol;MM00507;CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1;SGUAFYQXFOLMHL-UHFFFAOYSA-N;328.41;2.14;3869;CHEMBL429;CACO;ECACO;25;;;;-4.11;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00007762471166286911
Lamotrigine;MM00383;Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1;PYZRQGJRPPTADH-UHFFFAOYSA-N;256.1;2.01;3878;CHEMBL741;CACO;ECACO;25;;;;-3.96;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00010964781961431851
Lisinopril;MM00763;NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O;RLAWWYSOJDYHDC-UHFFFAOYSA-N;405.5;1.24;5362119;CHEMBL1237;CACO;ECACO;25;;;;-6.66;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0000002187761623949552
Loracarbef;MM01552;NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CCC12)c1ccccc1;JAPHQRWPEGVNBT-UHFFFAOYSA-N;349.77;0.71;5284585;CHEMBL1013;CACO;ECACO;25;;;;-6.62;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.000000239883291901949
D-mannitol;MM00386;OCC(O)C(O)C(O)C(O)CO;FBPFZTCFMRRESA-KVTDHHQDSA-N;182.17;-3.59;6251;CHEMBL689;CACO;ECACO;25;;;;-6.24;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0000005754399373371567
Methylprednisolone;MM00388;CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12;VHRSUDSXCMQTMA-UHFFFAOYSA-N;374.48;1.8;6741;CHEMBL650;CACO;ECACO;25;;;;-4.6;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.000025118864315095822
Metoprolol;MM00275;COCCc1ccc(OCC(O)CNC(C)C)cc1;IUBSYMUCCVWXPE-UHFFFAOYSA-N;267.37;1.61;4171;CHEMBL13;CACO;ECACO;25;;;;-3.85;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0001412537544622754
Nadolol;MM00525;CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2;VWPOSFSPZNDTMJ-UHFFFAOYSA-N;309.41;0.63;4411;CHEMBL521606;CACO;ECACO;25;;;;-6.41;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0000003890451449942805
Netivudine;MM00395;CC#Cc1cn(C2OC(CO)C(O)C2O)c(=O)[nH]c1=O;QLOCVMVCRJOTTM-SDNRWEOFSA-N;282.25;-2.48;55281;CHEMBL1097615;CACO;ECACO;25;;;;-6.17;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0000006760829753919819
Olsalazine;MM01437;O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O;QQBDLJCYGRGAKP-FOCLMDBBSA-N;302.24;2.91;22419;CHEMBL1201013;CACO;ECACO;25;;;;-7.8;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.000000015848931924611143
Ondansetron;MM00531;Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O;FELGMEQIXOGIFQ-UHFFFAOYSA-N;293.37;3.13;4595;CHEMBL46;CACO;ECACO;25;;;;-3.96;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00010964781961431851
Phenytoin;MM00406;O=C1N=C(O)NC1(c1ccccc1)c1ccccc1;CXOFVDLJLONNDW-UHFFFAOYSA-N;252.27;1.97;1775;CHEMBL16;CACO;ECACO;25;;;;-3.8;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00015848931924611142
Pindolol;MM00542;CC(C)NCC(O)COc1cccc2[nH]ccc12;JZQKKSLKJUAGIC-UHFFFAOYSA-N;248.33;1.91;4828;CHEMBL500;CACO;ECACO;25;;;;-4.01;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00009772372209558111
Practolol;MM00544;CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1;DURULFYMVIFBIR-UHFFFAOYSA-N;266.34;1.38;4883;CHEMBL6995;CACO;ECACO;25;;;;-5.21;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.000006165950018614822
Progesterone;MM00198;CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C;RJKFOVLPORLFTN-UHFFFAOYSA-N;314.47;4.72;5994;CHEMBL103;CACO;ECACO;25;;;;-4.01;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00009772372209558111
Propranolol;MM00085;CC(C)NCC(O)COc1cccc2ccccc12;AQHHHDLHHXJYJD-UHFFFAOYSA-N;259.35;2.58;4946;CHEMBL27;CACO;ECACO;25;;;;-3.96;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00010964781961431851
6-propyl-2-sulfanylidene-1H-pyrimidin-4-one;MM00415;CCCc1cc(=O)[nH]c(=S)[nH]1;KNAHARQHSZJURB-UHFFFAOYSA-N;170.24;1.38;657298;CHEMBL1518;CACO;ECACO;25;;;;-4.02;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00009549925860214369
Salicylic Acid;MM00093;O=C(O)c1ccccc1O;YGSDEFSMJLZEOE-UHFFFAOYSA-N;138.12;1.09;338;CHEMBL424;CACO;ECACO;25;;;;-4.89;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.000012882495516931348
Sotalol;MM00567;CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1;ZBMZVLHSJCTVON-UHFFFAOYSA-N;272.37;1.09;5253;CHEMBL471;CACO;ECACO;25;;;;-5.3;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.000005011872336272725
Sulfasalazine;MM00690;O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O;NCEXYHBECQHGNR-UHFFFAOYSA-N;398.4;3.7;5359476;CHEMBL421;CACO;ECACO;25;;;;-6.22;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0000006025595860743581
5-[2-(tert-butylamino)-1-hydroxyethyl]benzene-1,3-diol;MM00306;CC(C)(C)NCC(O)c1cc(O)cc(O)c1;XWTYSIMOBUGWOL-UHFFFAOYSA-N;225.29;1.52;5403;CHEMBL1760;CACO;ECACO;25;;;;-6.39;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00000040738027780411303
Testosterone;MM00423;CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12;MUMGGOZAMZWBJJ-UHFFFAOYSA-N;288.43;3.88;6013;CHEMBL386630;CACO;ECACO;25;;;;-4;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0001
(2S)-1-(tert-butylamino)-3-[(4-morpholin-4-yl-1,2,5-thiadiazol-3-yl)oxy]propan-2-ol;MM00573;CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1;BLJRIMJGRPQVNF-UHFFFAOYSA-N;316.43;0.5;33624;CHEMBL499;CACO;ECACO;25;;;;-4;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.0001
Trimethoprim;MM00581;COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC;IEDVJHCEMCRBQM-UHFFFAOYSA-N;290.32;1.26;5578;CHEMBL22;CACO;ECACO;25;;;;-4.06;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00008709635899560814
Warfarin;MM00095;CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O;PJVWKTKQMONHTI-UHFFFAOYSA-N;308.33;3.61;54678486;CHEMBL1464;CACO;ECACO;25;;;;-4.02;Irvine JD, Takahashi L, Lockhart K, Cheong J, Tolan JW, Selick HE, Grove JR.: MDCK (Madin-Darby canine kidney) cells: A tool for membrane permeability screening. J Pharm Sci, Volume 88 (1), 28-33, 1999;CACO-2;0.00009549925860214369
9-hyroxyethoxymethylguanine;MM00074;Nc1nc(=O)c2ncn(COCCO)c2[nH]1;MKUXAQIIEYXACX-UHFFFAOYSA-N;225.21;-1.33;2022;CHEMBL184;CACO;ECACO;25;;;;-5.89;Furubayashi T, Inoue D, Nishiyama N, Tanaka A, Yutani R, Kimura S, Katsumi H, Yamamoto A, Sakane T.: Comparison of Various Cell Lines and Three-Dimensional Mucociliary Tissue Model Systems to Estimate Drug Permeability Using an In Vitro Transport Study to Predict Nasal Drug Absorption in Rats. Pharmaceutics, Volume 12 (1), 2020;CACO-2;0.000001288249551693135
Quinidine;MM00558;C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12;LOUPRKONTZGTKE-LHHVKLHASA-N;324.42;3.17;441074;CHEMBL1294;CACO;ECACO;25;;;;-4.5;Furubayashi T, Inoue D, Nishiyama N, Tanaka A, Yutani R, Kimura S, Katsumi H, Yamamoto A, Sakane T.: Comparison of Various Cell Lines and Three-Dimensional Mucociliary Tissue Model Systems to Estimate Drug Permeability Using an In Vitro Transport Study to Predict Nasal Drug Absorption in Rats. Pharmaceutics, Volume 12 (1), 2020;CACO-2;0.000031622776601683795
Methotrexate;MM00270;CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1;FBOZXECLQNJBKD-UHFFFAOYSA-N;454.45;0.27;126941;CHEMBL34259;CACO;ECACO;25;;;;-6.54;Furubayashi T, Inoue D, Nishiyama N, Tanaka A, Yutani R, Kimura S, Katsumi H, Yamamoto A, Sakane T.: Comparison of Various Cell Lines and Three-Dimensional Mucociliary Tissue Model Systems to Estimate Drug Permeability Using an In Vitro Transport Study to Predict Nasal Drug Absorption in Rats. Pharmaceutics, Volume 12 (1), 2020;CACO-2;0.00000028840315031266057
Boc-Trp;MM01089;CC(C)(C)OC(=O)NC(Cc1cc2ccccc2[nH]1)C(=O)O;WXYGVKADAIJGHB-UHFFFAOYSA-N;304.35;2.69;44424848;;PL-A;EPAM;25;;;;-5.74;Fujikawa M., Ano R., Nakao K., Shimizu R., Akamatsu M., Relationships between structure and high-throughput screening permeability of diverse drugs with artificial membranes: Application to prediction of Caco-2 cell permeability. Bioorg. Med. Chem. 13 (2005) 4721-4732;PAMPA;0.0000018197008586099826
Cbz-Trp;MM01090;O=C(NC(Cc1cc2ccccc2[nH]1)C(=O)O)OCc1ccccc1;DZJWNXSZBKGYKP-UHFFFAOYSA-N;338.36;3.09;44424857;;PL-A;EPAM;25;;;;-5.55;Fujikawa M., Ano R., Nakao K., Shimizu R., Akamatsu M., Relationships between structure and high-throughput screening permeability of diverse drugs with artificial membranes: Application to prediction of Caco-2 cell permeability. Bioorg. Med. Chem. 13 (2005) 4721-4732;PAMPA;0.000002818382931264455
